energy,flux,res
2400,1.65E+11,
2500,1.93E+11,3.242664966
2750,2.34E+11,
3000,2.77E+11,2.702220805
3250,2.98E+11,
3500,2.99E+11,2.316189262
3750,3.04E+11,
4000,1.67E+11,2.026665604
4250,2.21E+11,
4500,2.60E+11,1.801480537
4750,2.85E+10,
5000,3.04E+10,1.621332483
5250,3.04E+10,
5500,5.25E+10,1.473938621
5750,6.04E+10,
6000,4.00E+10,1.351110403
6250,4.55E+10,
6500,6.19E+10,1.247178833
6750,5.00E+10,
7000,5.18E+10,1.158094631
7250,4.03E+10,
7500,1.67E+10,1.080888322
7750,3.06E+10,
8000,3.44E+10,1.013332802
8250,1.81E+10,
8500,8.34E+09,0.95372499
8750,1.59E+10,
9000,3.07E+10,0.900740268
9250,1.59E+10,
9500,6.97E+09,0.853332886
9750,8.10E+09,
10000,9.61E+09,0.810666242
10250,,
10500,,0.772063087
10750,,
11000,,0.736969311
11250,,
11500,,0.704927167
11750,,
12000,,0.675555201
